,borough,x,y,latitude,longitude
0,Barking & Dagenham,543522.5,184862.5,51.544414,0.068327
1,Barking & Dagenham,543577.6,184846.7,51.544258,0.069115
2,Barking & Dagenham,543577.1,184837.7,51.544177,0.069104
3,Barking & Dagenham,543595.5,184832.8,51.544128,0.069367
4,Barking & Dagenham,543601.7,184831.2,51.544113,0.069456
5,Barking & Dagenham,543608.1,184829.5,51.544096,0.069547
6,Barking & Dagenham,543611.6,184828.6,51.544087,0.069597
7,Barking & Dagenham,543614.4,184827.9,51.54408,0.069637
8,Barking & Dagenham,543619.8,184826.1,51.544062,0.069714
9,Barking & Dagenham,543664.4,184811.9,51.543923,0.070351
10,Barking & Dagenham,543699.6,184799.4,51.543802,0.070854
11,Barking & Dagenham,543712.0,184797.0,51.543777,0.071031
12,Barking & Dagenham,543717.8,184795.8,51.543765,0.071114
13,Barking & Dagenham,543754.4,184779.9,51.543613,0.071635
14,Barking & Dagenham,543765.1,184775.3,51.543569,0.071788
15,Barking & Dagenham,543767.3,184779.9,51.543609,0.071821
16,Barking & Dagenham,543768.4,184783.2,51.543639,0.071838
17,Barking & Dagenham,543774.8,184803.0,51.543815,0.071939
18,Barking & Dagenham,543777.5,184803.1,51.543815,0.071978
19,Barking & Dagenham,543796.3,184804.0,51.543819,0.072249
20,Barking & Dagenham,543827.3,184804.9,51.543819,0.072696
21,Barking & Dagenham,543827.6,184798.1,51.543758,0.072698
22,Barking & Dagenham,543844.5,184799.1,51.543762,0.072942
23,Barking & Dagenham,543851.9,184799.8,51.543767,0.073048
24,Barking & Dagenham,543863.8,184801.0,51.543774,0.07322
25,Barking & Dagenham,543863.1,184805.9,51.543819,0.073212
26,Barking & Dagenham,543869.9,184806.2,51.54382,0.07331
27,Barking & Dagenham,543878.7,184806.6,51.543821,0.073437
28,Barking & Dagenham,543904.1,184805.9,51.543808,0.073803
29,Barking & Dagenham,543934.4,184810.1,51.543838,0.074242
30,Barking & Dagenham,543949.4,184812.4,51.543855,0.074459
31,Barking & Dagenham,543980.4,184818.3,51.5439,0.074908
32,Barking & Dagenham,544024.0,184832.3,51.544015,0.075542
33,Barking & Dagenham,544041.9,184846.6,51.544139,0.075806
